No saved genome found.
Generation 1/100
Genome 1: Fitness 57.94
Genome 2: Fitness 83.80
Genome 3: Fitness 56.14
Genome 4: Fitness 14.51
Genome 5: Fitness 51.10
Genome 6: Fitness 11.21
Genome 7: Fitness 42.64
Genome 8: Fitness 51.58
Genome 9: Fitness 78.21
Genome 10: Fitness 22.62
Genome 11: Fitness 85.63
Genome 12: Fitness 33.52
Genome 13: Fitness 39.11
Genome 14: Fitness 85.79
Genome 15: Fitness 55.10
Genome 16: Fitness 41.35
Genome 17: Fitness 63.46
Genome 18: Fitness 42.39
Genome 19: Fitness 60.44
Genome 20: Fitness 32.16
Genome 21: Fitness 41.28
Genome 22: Fitness 60.48
Genome 23: Fitness 60.64
Genome 24: Fitness 64.82
Genome 25: Fitness 31.67
Genome 26: Fitness 26.90
Genome 27: Fitness 73.00
Genome 28: Fitness 78.69
Genome 29: Fitness 85.24
Genome 30: Fitness 31.42
Genome 31: Fitness 60.62
Genome 32: Fitness 76.00
Genome 33: Fitness 74.55
Genome 34: Fitness 36.62
Genome 35: Fitness 83.20
Genome 36: Fitness 30.00
Genome 37: Fitness 40.47
Genome 38: Fitness 16.34
Genome 39: Fitness 71.20
Genome 40: Fitness 76.04
Genome 41: Fitness 39.17
Genome 42: Fitness 29.10
Genome 43: Fitness 42.28
Genome 44: Fitness 57.96
Genome 45: Fitness 66.50
Genome 46: Fitness 75.55
Genome 47: Fitness 76.27
Genome 48: Fitness 44.49
Genome 49: Fitness 30.93
Genome 50: Fitness 47.30
Best fitness: 85.79
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 2/100
Genome 1: Fitness 85.79
Genome 2: Fitness 85.63
Genome 3: Fitness 85.24
Genome 4: Fitness 83.31
Genome 5: Fitness 55.32
Genome 6: Fitness 7.64
Genome 7: Fitness 55.98
Genome 8: Fitness 39.13
Genome 9: Fitness 33.79
Genome 10: Fitness 83.89
Genome 11: Fitness 31.34
Genome 12: Fitness 32.87
Genome 13: Fitness 40.17
Genome 14: Fitness 31.93
Genome 15: Fitness 77.82
Genome 16: Fitness 38.90
Genome 17: Fitness 67.29
Genome 18: Fitness 64.58
Genome 19: Fitness 31.33
Genome 20: Fitness 54.44
Genome 21: Fitness 52.95
Genome 22: Fitness 74.58
Genome 23: Fitness 83.82
Genome 24: Fitness 19.52
Genome 25: Fitness 34.87
Genome 26: Fitness 73.37
Genome 27: Fitness 56.27
Genome 28: Fitness 57.59
Genome 29: Fitness 62.17
Genome 30: Fitness 67.63
Genome 31: Fitness 75.42
Genome 32: Fitness 69.65
Genome 33: Fitness 39.68
Genome 34: Fitness 78.93
Genome 35: Fitness 35.32
Genome 36: Fitness 47.79
Genome 37: Fitness 50.33
Genome 38: Fitness 65.66
Genome 39: Fitness 83.75
Genome 40: Fitness 21.61
Genome 41: Fitness 77.50
Genome 42: Fitness 77.36
Genome 43: Fitness 38.38
Genome 44: Fitness 38.15
Genome 45: Fitness 30.81
Genome 46: Fitness 87.59
Genome 47: Fitness 47.97
Genome 48: Fitness 86.25
Genome 49: Fitness 85.03
Genome 50: Fitness 62.54
Best fitness: 87.59
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 3/100
Genome 1: Fitness 87.59
Genome 2: Fitness 86.25
Genome 3: Fitness 85.79
Genome 4: Fitness 35.35
Genome 5: Fitness 28.97
Genome 6: Fitness 30.80
Genome 7: Fitness 44.56
Genome 8: Fitness 85.05
Genome 9: Fitness 45.25
Genome 10: Fitness 64.32
Genome 11: Fitness 22.62
Genome 12: Fitness 59.37
Genome 13: Fitness 26.75
Genome 14: Fitness 48.52
Genome 15: Fitness 28.38
Genome 16: Fitness 34.94
Genome 17: Fitness 39.50
Genome 18: Fitness 42.34
Genome 19: Fitness 69.03
Genome 20: Fitness 57.92
Genome 21: Fitness 20.64
Genome 22: Fitness 29.84
Genome 23: Fitness 31.72
Genome 24: Fitness 88.04
Genome 25: Fitness 47.47
Genome 26: Fitness 63.43
Genome 27: Fitness 44.62
Genome 28: Fitness 54.91
Genome 29: Fitness 76.92
Genome 30: Fitness 77.50
Genome 31: Fitness 38.77
Genome 32: Fitness 29.11
Genome 33: Fitness 76.38
Genome 34: Fitness 87.19
Genome 35: Fitness 22.65
Genome 36: Fitness 47.09
Genome 37: Fitness 79.47
Genome 38: Fitness 68.41
Genome 39: Fitness 74.28
Genome 40: Fitness 39.40
Genome 41: Fitness 66.92
Genome 42: Fitness 78.83
Genome 43: Fitness 39.62
Genome 44: Fitness 57.68
Genome 45: Fitness 28.40
Genome 46: Fitness 85.37
Genome 47: Fitness 44.26
Genome 48: Fitness 56.17
Genome 49: Fitness 83.34
Genome 50: Fitness 46.30
Best fitness: 88.04
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 4/100
Genome 1: Fitness 88.04
Genome 2: Fitness 87.59
Genome 3: Fitness 87.19
Genome 4: Fitness 56.71
Genome 5: Fitness 68.92
Genome 6: Fitness 36.70
Genome 7: Fitness 48.78
Genome 8: Fitness 35.77
Genome 9: Fitness 35.66
Genome 10: Fitness 17.52
Genome 11: Fitness 29.33
Genome 12: Fitness 76.46
Genome 13: Fitness 61.85
Genome 14: Fitness 40.95
Genome 15: Fitness 36.48
Genome 16: Fitness 35.45
Genome 17: Fitness 90.12
Genome 18: Fitness 37.56
Genome 19: Fitness 62.94
Genome 20: Fitness 74.48
Genome 21: Fitness 82.08
Genome 22: Fitness 21.78
Genome 23: Fitness 56.66
Genome 24: Fitness 30.86
Genome 25: Fitness 33.93
Genome 26: Fitness 51.91
Genome 27: Fitness 78.59
Genome 28: Fitness 10.98
Genome 29: Fitness 32.20
Genome 30: Fitness 68.74
Genome 31: Fitness 14.10
Genome 32: Fitness 37.73
Genome 33: Fitness 27.96
Genome 34: Fitness 71.95
Genome 35: Fitness 72.39
Genome 36: Fitness 67.05
Genome 37: Fitness 29.74
Genome 38: Fitness 50.49
Genome 39: Fitness 40.33
Genome 40: Fitness 34.34
Genome 41: Fitness 35.71
Genome 42: Fitness 31.58
