config,best_fitness,,Mutation Rate,Generation,Fitness,,Population,Generation,Fitness,,Crossover,Generation,Fitness
mutation_0.01,19.80770833,,0.01,1,2.99,,10,1,9.38,,single_point,1,2.99
mutation_0.05,47.06791667,,0.01,10,18.65,,10,10,18.01,,single_point,10,14.55
mutation_0.1,24.10375,,0.01,20,18.91,,10,20,49.69,,single_point,20,14.55
population_10,62.26041667,,0.01,30,19.47,,10,30,53.18,,single_point,30,14.55
population_20,58.06083333,,0.01,40,19.47,,10,40,61.16,,single_point,40,14.55
crossover_uniform,59.28166667,,0.01,50,19.77,,10,50,61.16,,single_point,50,14.66
crossover_single_point,28.30770833,,0.01,60,19.77,,10,60,62.26,,single_point,60,14.69
,,,0.01,70,19.77,,10,70,62.26,,single_point,70,14.69
,,,0.01,80,19.77,,10,80,62.26,,single_point,80,21.9
,,,0.01,90,19.81,,10,90,62.26,,single_point,90,24.06
,,,0.01,100,19.81,,10,100,62.26,,single_point,100,28.31
,,,0.1,1,11.52,,20,1,10.81,,uniform,1,9.15
,,,0.1,10,11.52,,20,10,29.68,,uniform,10,17.95
,,,0.1,20,17.71,,20,20,32.38,,uniform,20,19.23
,,,0.1,30,23.23,,20,30,41.33,,uniform,30,39.34
,,,0.1,40,23.23,,20,40,44.9,,uniform,40,43.3
,,,0.1,50,23.23,,20,50,44.93,,uniform,50,44.53
,,,0.1,60,23.23,,20,60,46.66,,uniform,60,57.21
,,,0.1,70,23.23,,20,70,47.63,,uniform,70,57.21
,,,0.1,80,23.23,,20,80,50.78,,uniform,80,59.28
,,,0.1,90,24.1,,20,90,58.06,,uniform,90,59.28
,,,0.1,100,24.1,,20,100,58.06,,uniform,100,59.28
,,,0.05,1,9.98,,,,,,,,
,,,0.05,10,11.32,,,,,,,,
,,,0.05,20,17.17,,,,,,,,
,,,0.05,30,26.05,,,,,,,,
,,,0.05,40,32.6,,,,,,,,
,,,0.05,50,37.82,,,,,,,,
,,,0.05,60,42.89,,,,,,,,
,,,0.05,70,44.1,,,,,,,,
,,,0.05,80,47.07,,,,,,,,
,,,0.05,90,47.07,,,,,,,,
,,,0.05,100,47.07,,,,,,,,
